datetime,station,date,day_of_year,station_id,flow,st_max_temp,st_min_temp,st_mean_temp,st_heat_deg_days,st_cool_deg_days,st_total_rain,st_total_snow,st_total_precip,st_total_snow_on_ground,st_dir_of_max_gust_10sdeg,st_spd_of_max_gust_kmh,era5_6am_t2m,era5_6am_evabs,era5_6am_evavt,era5_6am_lai_lv,era5_6am_ro,era5_6am_es,era5_6am_smlt,era5_6am_stl1,era5_6am_ssro,era5_6am_sp,era5_6am_sro,era5_6am_e,era5_6am_tp,era5_6am_swvl1,era5_noon_t2m,era5_noon_evavt,era5_noon_ro,era5_noon_sd,era5_noon_es,era5_noon_sf,era5_noon_smlt,era5_noon_stl1,era5_noon_ssr,era5_noon_e,era5_noon_tp
3/1/2013,07SB013,3/1/2013,60,2,0,-2.5,-19,-10.8,28.8,0,0,0,0,0,,,,,,,,,,,,,,,,,262.3635901,7.13E-05,3.10E-05,0.051683382,8.25E-05,1.16E-05,-1.86E-09,271.1197753,567540.6869,0.000179578,1.34E-05
3/2/2013,07SB013,3/2/2013,61,2,0,-8.5,-17,-12.8,30.8,0,0,0,0,0,,,,,,,,,,,,,,,,,261.549838,5.29E-06,3.10E-05,0.051803334,1.36E-05,0.0001507,-1.86E-09,271.1558223,343729.7809,2.65E-05,0.000156582
3/3/2013,07SB013,3/3/2013,62,2,0,-10.5,-15.5,-13,31,0,0,0,0,0,,,,,,,,,,,,,,,,,262.1154384,2.79E-06,3.09E-05,0.052303144,-1.53E-05,0.000522918,-1.86E-09,271.2093725,445504.6196,-1.26E-05,0.000525412
3/4/2013,07SB013,3/4/2013,63,2,0,-13,-21.5,-17.3,35.3,0,0,0.2,0.2,0.2,,,,,,,,,,,,,,,,,255.0696274,-9.89E-05,3.09E-05,0.052261407,3.34E-07,1.94E-05,-1.86E-09,271.1478807,699089.5845,-9.86E-05,2.12E-05
3/5/2013,07SB013,3/5/2013,64,2,0,-14.5,-22,-18.3,36.3,0,0,0,0,0,,,,,,,,,,,,,,,,,252.8538659,-2.60E-05,3.09E-05,0.052508546,1.88E-06,0.000238718,-1.86E-09,271.0696852,667091.257,-2.38E-05,0.000242912
3/6/2013,07SB013,3/6/2013,65,2,0,-26.5,-36,-31.3,49.3,0,0,0,0,0,,,,,,,,,,,,,,,,,243.5029303,-7.96E-05,3.07E-05,0.052489554,2.95E-06,5.76E-06,-1.86E-09,270.9048425,862881.4516,-7.66E-05,6.19E-06
3/7/2013,07SB013,3/7/2013,66,2,0,-22.5,-38,-30.3,48.3,0,0,0,0,0,,,,,,,,,,,,,,,,,243.4051398,-1.12E-05,3.07E-05,0.052467833,1.65E-06,1.86E-09,-1.86E-09,270.6767499,926384.5957,-9.10E-06,0
3/8/2013,07SB013,3/8/2013,67,2,0,-17.5,-37.5,-27.5,45.5,0,0,0,0,0,,,,,,,,,,,,,,,,,248.2560884,5.73E-06,3.07E-05,0.052585459,-5.95E-06,0.000166294,-1.86E-09,270.6699112,883846.1509,-1.97E-07,0.000169603
3/9/2013,07SB013,3/9/2013,68,2,0,-16,-33,-24.5,42.5,0,0,0,0,0,,,,,,,,,,,,,,,,,246.8647277,-8.53E-06,3.06E-05,0.052549462,-2.59E-06,1.86E-09,-1.86E-09,270.631628,909593.4391,-1.10E-05,0
3/10/2013,07SB013,3/10/2013,69,2,0,-11,-28.5,-19.8,37.8,0,0,0,0,0,,,,,,,,,,,,,,,,,254.9223625,2.30E-05,3.06E-05,0.052827615,-3.44E-05,0.000445252,-1.86E-09,270.7256246,810862.2697,-1.15E-05,0.000449797
3/11/2013,07SB013,3/11/2013,70,2,0,-15.5,-23,-19.3,37.3,0,0,0,0,0,,,,,,,,,,,,,,,,,251.8007129,-7.82E-06,3.06E-05,0.052827478,-1.29E-06,4.12E-05,-1.86E-09,270.7957436,1058462.864,-9.10E-06,4.30E-05
3/12/2013,07SB013,3/12/2013,71,2,0,-18.5,-27,-22.8,40.8,0,0,0,0,0,,,,,,,,,,,,,,,,,248.4026864,-2.69E-05,3.06E-05,0.052796124,-1.91E-06,2.03E-05,-1.86E-09,270.7354061,1123487.63,-2.89E-05,2.44E-05
3/13/2013,07SB013,3/13/2013,72,2,0,-21.5,-31.5,-26.5,44.5,0,0,0,0,0,,,,,,,,,,,,,,,,,246.2354962,-1.12E-05,3.06E-05,0.052802476,5.66E-06,2.90E-05,-1.86E-09,270.6120127,1239424.221,-4.03E-06,3.17E-05
3/14/2013,07SB013,3/14/2013,73,2,0,-20.5,-34,-27.3,45.3,0,0,0.2,0.2,0.2,,,,,,,,,,,,,,,,,244.7569532,-1.76E-05,3.04E-05,0.052783759,6.44E-06,1.30E-06,-1.86E-09,270.4953783,1310824.773,-1.05E-05,2.44E-06
3/15/2013,07SB013,3/15/2013,74,2,0,-21.5,-34,-27.8,45.8,0,0,0,0,0,,,,,,,,,,,,,,,,,245.9771813,3.21E-07,3.04E-05,0.052802271,2.28E-06,5.70E-05,-1.86E-09,270.4589611,1287955.99,2.80E-06,5.91E-05
3/16/2013,07SB013,3/16/2013,75,2,0,-19.5,-36.5,-28,46,0,0,0,0,0,,,,,,,,,,,,,,,,,246.8752374,5.34E-07,3.02E-05,0.052776792,1.07E-06,2.11E-07,-1.86E-09,270.3830406,1391581.752,2.28E-06,0
3/17/2013,07SB013,3/17/2013,76,2,0,-17,-36,-26.5,44.5,0,0,0.2,0.2,0.2,,,,,,,,,,,,,,,,,247.2160885,3.15E-06,3.02E-05,0.052754251,1.73E-06,3.56E-06,-1.86E-09,270.370823,1374261.482,4.38E-06,6.00E-06
3/18/2013,07SB013,3/18/2013,77,2,0,-14.5,-32.5,-23.5,41.5,0,0,0,0,0,,,,,,,,,,,,,,,,,251.4555926,3.72E-06,3.02E-05,0.052898518,-1.34E-07,0.000200549,-1.86E-09,270.4434495,1290131.92,3.85E-06,0.000203921
3/19/2013,07SB013,3/19/2013,78,2,0,-13.5,-32.5,-23,41,0,0,0,0,0,,,,,,,,,,,,,,,,,251.0894065,-7.42E-08,3.02E-05,0.052876315,-3.65E-06,6.79E-06,-1.86E-09,270.4122286,1489348.402,-3.63E-06,9.55E-06
3/20/2013,07SB013,3/20/2013,79,2,0,-3.5,-32.5,-18,36,0,0,2,2,2,,,,,,,,,,,,,,,,,258.949822,3.44E-05,3.02E-05,0.053257065,-0.000101547,0.000658914,-1.86E-09,270.5560742,1289717.937,-6.71E-05,0.000661731
3/21/2013,07SB013,3/21/2013,80,2,0,-7,-14,-10.5,28.5,0,0,4,4,4,,,,,,,,,,,,,,,,,263.1292058,-3.27E-05,3.02E-05,0.054722622,-0.000246721,0.002373173,-1.86E-09,270.7625398,1019674.993,-0.000279483,0.002375842
3/22/2013,07SB013,3/22/2013,81,2,0,-6.5,-12,-9.3,27.3,0,0,0.6,0.6,0.6,,,,,,,,,,,,,,,,,263.6978327,-1.21E-05,3.02E-05,0.057283292,-2.98E-05,0.00319598,-1.86E-09,270.8912238,871739.1172,-4.20E-05,0.003198581
3/23/2013,07SB013,3/23/2013,82,2,0,-8,-25.5,-16.8,34.8,0,0,0,0,0,,,,,,,,,,,,,,,,,262.7078068,-3.43E-05,3.00E-05,0.057377418,1.06E-05,2.25E-05,-1.86E-09,270.9275079,1417665.625,-1.97E-05,2.33E-05
3/24/2013,07SB013,3/24/2013,83,2,0,-2,-22.5,-12.3,30.3,0,0,0,0,0,,,,,,,,,,,,,,,,,263.2952745,-6.39E-06,2.99E-05,0.057352418,6.46E-05,1.86E-09,-1.86E-09,270.9616883,1615222.035,6.12E-05,9.39E-07
3/25/2013,07SB013,3/25/2013,84,2,0,0,-15.5,-7.8,25.8,0,0,0,0,0,,,,,,,,,,,,,,,,,264.6082383,3.67E-06,2.98E-05,0.057275231,3.06E-05,1.86E-09,-1.86E-09,271.0101903,1688508.922,3.53E-05,0
3/26/2013,07SB013,3/26/2013,85,2,0,-2,-13.5,-7.8,25.8,0,0,0,0,0,,,,,,,,,,,,,,,,,264.7478306,-3.75E-05,2.98E-05,0.057095102,-4.27E-05,1.86E-09,-1.86E-09,271.0616032,1769065.832,-8.02E-05,9.39E-07
3/27/2013,07SB013,3/27/2013,86,2,0,-2.5,-11,-6.8,24.8,0,0,0,0,0,,,,,,,,,,,,,,,,,266.4747267,-3.51E-05,2.98E-05,0.05689571,-7.11E-05,7.15E-05,-1.86E-09,271.1068038,1413473.688,-0.000106117,7.41E-05
3/28/2013,07SB013,3/28/2013,87,2,0,-5,-17.5,-11.3,29.3,0,0,0.2,0.2,0.2,,,,,,,,,,,,,,,,,263.5767079,-8.04E-05,2.98E-05,0.057360136,-7.70E-06,6.96E-05,-1.86E-09,271.0912121,1418150.343,-8.84E-05,7.20E-05
3/29/2013,07SB013,3/29/2013,88,2,0,-5,-19.5,-12.3,30.3,0,0,0.6,0.6,0.6,,,,,,,,,,,,,,,,,262.8415679,-4.07E-05,2.98E-05,0.05832827,-1.05E-06,0.000241093,-1.86E-09,271.0458401,1512281.473,-4.05E-05,0.000242912
3/30/2013,07SB013,3/30/2013,89,2,0,-5.5,-21.5,-13.5,31.5,0,0,0,0,0,,,,,,,,,,,,,,,,,260.1610477,-6.70E-05,2.96E-05,0.058353132,3.98E-06,1.33E-05,-1.86E-09,270.9891874,1854432.06,-6.23E-05,1.33E-05
3/31/2013,07SB013,3/31/2013,90,2,0,-4.5,-22,-13.3,31.3,0,0,0,0,0,,,,,,,,,,,,,,,,,259.9547562,-3.60E-05,2.95E-05,0.058285031,1.55E-07,9.72E-06,-1.86E-09,270.9614594,1646379.631,-3.63E-05,1.13E-05
4/1/2013,07SB013,4/1/2013,91,2,0,-9,-24,-16.5,34.5,0,0,0,0,0,,,,,,,,,,,,,,,,,260.8834844,-1.56E-05,2.95E-05,0.058217065,-9.32E-06,5.43E-06,-1.86E-09,270.9336118,1903897.922,-2.40E-05,5.91E-06
4/2/2013,07SB013,4/2/2013,92,2,0,-2,-18,-10,28,0,0,0,0,0,,,,,,,,,,,,,,,,,263.317675,-7.41E-06,2.95E-05,0.058102851,-0.000103247,0.000113378,-1.86E-09,271.0005383,1606288.484,-0.000110705,0.000115283
4/3/2013,07SB013,4/3/2013,93,2,0,-13,-23,-18,36,0,0,0,0,0,,,,,,,,,,,,,,,,,255.5190841,-0.00017802,2.95E-05,0.057880779,-7.27E-05,1.77E-05,-1.86E-09,270.9356,1866676.62,-0.000250706,2.01E-05
4/4/2013,07SB013,4/4/2013,94,2,0,-17,-24,-20.5,38.5,0,0,0,0,0,,,,,,,,,,,,,,,,,252.7913629,-7.78E-05,2.94E-05,0.057849975,-3.19E-05,3.21E-05,-1.86E-09,270.8031501,2260139.37,-0.000109517,3.40E-05
4/5/2013,07SB013,4/5/2013,95,2,0,-17,-31.5,-24.3,42.3,0,0,0,0,0,,,,,,,,,,,,,,,,,250.8192504,-7.15E-05,2.94E-05,0.057745667,-2.75E-05,3.30E-06,-1.86E-09,270.631255,2476013.223,-9.90E-05,3.38E-06
4/6/2013,07SB013,4/6/2013,96,2,0,-12,-28,-20,38,0,0,0,0,0,,,,,,,,,,,,,,,,,252.0257193,-2.02E-05,2.94E-05,0.057658028,-2.02E-05,1.86E-09,-1.86E-09,270.5369449,2586406.462,-4.04E-05,0
4/7/2013,07SB013,4/7/2013,97,2,0,-4,-27,-15.5,33.5,0,0,0,0,0,,,,,,,,,,,,,,,,,257.1755342,-3.74E-07,2.91E-05,0.057550988,-2.00E-05,1.86E-09,-1.86E-09,270.5355851,2591425.464,-2.02E-05,0
4/8/2013,07SB013,4/8/2013,98,2,0,-1.5,-23.5,-12.5,30.5,0,0,0,0,0,,,,,,,,,,,,,,,,,262.1140896,2.97E-05,2.91E-05,0.05744593,-8.01E-06,1.86E-09,-1.86E-09,270.6843409,2662407.755,2.25E-05,0
4/9/2013,07SB013,4/9/2013,99,2,0,4,-13,-4.5,22.5,0,0,2,2,2,,,,,,,,,,,,,,,,,266.8651848,7.21E-05,2.91E-05,0.057126729,-0.000116163,1.86E-09,-1.86E-09,270.875454,2821363.605,-4.41E-05,9.39E-07
4/10/2013,07SB013,4/10/2013,100,2,0,8,-6,1,17,0,0,0,0,0,,,,,,,,,,,,,,,,,274.5870015,-2.91E-05,2.91E-05,0.05941915,-0.000511211,0.004119742,-1.86E-09,271.1193674,2794083.969,-0.000540272,0.004121198
4/11/2013,07SB013,4/11/2013,101,2,0,3,-6,-1.5,19.5,0,0,0,0,0,,,,,,,,,,,,,,,,,271.0474935,-0.000224989,3.52E-05,0.057713282,-0.000192717,1.86E-09,5.16E-05,271.2139926,2987220.761,-0.000417832,1.88E-06
4/12/2013,07SB013,4/12/2013,102,2,0,3.5,-10,-3.3,21.3,0,0,0,0,0,,,,,,,,,,,,,,,,,270.201593,-0.000144108,2.90E-05,0.057651393,-1.67E-05,0.000290209,-1.86E-09,271.2103335,2940987.362,-0.000165022,0.000291808
4/13/2013,07SB013,4/13/2013,103,2,0,3,-12.5,-4.8,22.8,0,0,0,0,0,,,,,,,,,,,,,,,,,268.6213312,-0.000150939,2.90E-05,0.057381713,-9.12E-05,1.86E-09,-1.86E-09,271.237667,2845683.627,-0.000242193,0
4/14/2013,07SB013,4/14/2013,104,2,0,3.5,-12,-4.3,22.3,0,0,0,0,0,,,,,,,,,,,,,,,,,267.1544416,-0.000162847,2.90E-05,0.057054175,-0.000113999,3.89E-05,-1.86E-09,271.2374009,1989748.782,-0.000276902,4.36E-05
4/15/2013,07SB013,4/15/2013,105,2,0,0,-12,-6,24,0,0,0,0,0,,,,,,,,,,,,,,,,,269.0788936,-7.49E-05,2.87E-05,0.056842827,-8.80E-05,3.55E-05,-1.86E-09,271.2741737,2094022.895,-0.000162927,4.00E-05
4/16/2013,07SB013,4/16/2013,106,2,0,-1,-15.5,-8.3,26.3,0,0,0,0,0,,,,,,,,,,,,,,,,,267.0803946,-0.000175091,2.87E-05,0.056593845,-0.000174141,0.000132259,-1.86E-09,271.2845475,1969913.862,-0.000349198,0.000134009
4/17/2013,07SB013,4/17/2013,107,2,0,-2,-12,-7,25,0,0,0,0,0,,,,,,,,,,,,,,,,,267.3323836,-0.000223917,2.87E-05,0.056246154,-0.000183068,2.49E-05,-1.86E-09,271.2501388,2842342.87,-0.000406711,2.49E-05
4/18/2013,07SB013,4/18/2013,108,2,0,-1.5,-17,-9.3,27.3,0,0,0,0,0,,,,,,,,,,,,,,,,,264.8333161,-0.000271194,2.87E-05,0.055747571,-0.000167915,1.86E-09,-1.86E-09,271.117234,3355561.667,-0.00043918,0
4/19/2013,07SB013,4/19/2013,109,2,0,-0.5,-15.5,-8,26,0,0,0,0,0,,,,,,,,,,,,,,,,,265.9960352,-6.60E-05,2.86E-05,0.05534988,-0.000132123,1.86E-09,-1.86E-09,271.0442067,3556438.083,-0.000198279,1.88E-06
4/20/2013,07SB013,4/20/2013,110,2,0,-2.5,-13,-7.8,25.8,0,0,0,0,0,,,,,,,,,,,,,,,,,262.9576571,-7.52E-05,2.86E-05,0.054877183,-0.000180042,1.61E-05,-1.86E-09,271.0218639,2671710.305,-0.000255264,1.95E-05
4/21/2013,07SB013,4/21/2013,111,2,0,4,-10.5,-3.3,21.3,0,0,0,0,0,,,,,,,,,,,,,,,,,270.2501594,-3.84E-05,2.86E-05,0.054494452,-0.000167308,2.19E-05,-1.86E-09,271.0022799,3271579.958,-0.000203552,2.27E-05
4/22/2013,07SB013,4/22/2013,112,2,0,2,-9,-3.5,21.5,0,0,0,0,0,,,,,,,,,,,,,,,,,270.5655285,-6.42E-05,2.84E-05,0.053805902,-0.000267267,3.46E-05,-1.86E-09,271.1191298,3437182.388,-0.000333777,3.54E-05
4/23/2013,07SB013,4/23/2013,113,2,0,0,-6,-3,21,0,0,0,0,0,,,,,,,,,,,,,,,,,268.9988232,-0.000188567,2.84E-05,0.053834248,-0.000311463,0.000700444,-1.86E-09,271.2368976,3214782.763,-0.000500204,0.000710235
4/24/2013,07SB013,4/24/2013,114,2,0,6.5,-8,-0.8,18.8,0,0,1,1,1,,,,,,,,,,,,,,,,,274.422002,-7.58E-05,2.83E-05,0.053591825,-9.31E-05,0.000304747,-1.86E-09,271.3020406,2948066.612,-0.000160264,0.000305225
4/25/2013,07SB013,4/25/2013,115,2,0,1,-5,-2,20,0,0,0.4,0.4,0.4,,,,,,,,,,,,,,,,,272.1904125,-0.00011681,4.42E-05,0.052505097,-0.000249017,0.001562351,6.40E-05,271.4515658,2500583.305,-0.000365876,0.001571232
4/26/2013,07SB013,4/26/2013,116,2,0,-6,-12.5,-9.3,27.3,0,0,0.6,0.6,0.6,,,,,,,,,,,,,,,,,264.686356,-0.000566992,2.83E-05,0.051794007,-0.000394971,8.09E-05,-1.86E-09,271.2539013,3504880.916,-0.000962022,8.11E-05
4/27/2013,07SB013,4/27/2013,117,2,0.218,-3,-11,-7,25,0,0,0,0,0,,,,,,,,,,,,,,,,,267.5281768,-0.000171517,2.83E-05,0.051905282,-0.000311634,0.000904317,-1.86E-09,271.2151325,2615204.293,-0.000483112,0.000908056
4/28/2013,07SB013,4/28/2013,118,2,0.357,-7,-19,-13,31,0,0,0,0,0,,,,,,,,,,,,,,,,,263.4218823,-0.000361553,2.82E-05,0.051394536,-0.000338165,9.57E-05,-1.86E-09,271.0483354,3501880.813,-0.000699746,9.63E-05
4/29/2013,07SB013,4/29/2013,119,2,0.354,-7.5,-18,-12.8,30.8,0,0,0,0,0,,,,,,,,,,,,,,,,,261.9132112,-0.000174142,2.80E-05,0.050950261,-0.000258221,5.46E-05,-1.86E-09,270.9214896,3496604.204,-0.000432366,5.59E-05
4/30/2013,07SB013,4/30/2013,120,2,0.351,-7.5,-19,-13.3,31.3,0,0,0,0,0,,,,,,,,,,,,,,,,,263.8934124,-5.78E-05,2.80E-05,0.050702573,-0.000146545,0.000189675,-1.86E-09,270.8211217,3784324.127,-0.000204135,0.000196866
5/1/2013,07SB013,5/1/2013,121,2,0.349,2.5,-14.5,-6,24,0,0,0,0,0,,,262.0501506,0,-0.00012564,0.819057161,1.77E-05,-0.000138095,0,270.8771086,1.77E-05,99844.70248,1.86E-09,-0.000263696,1.86E-06,0.291071398,267.6625035,-0.000139699,2.80E-05,0.050090323,-0.00032763,1.47E-06,-1.86E-09,270.8660457,4044800.796,-0.000467396,1.50E-06
5/2/2013,07SB013,5/2/2013,122,2,0.347,6,-8,-1,19,0,0,0,0,0,,,269.3961529,-1.36E-08,-6.12E-05,0.821571681,1.90E-05,-0.000246873,0,271.153655,1.77E-05,98623.46341,1.29E-06,-0.000308104,0.000244499,0.291174066,273.8918859,-7.43E-05,6.05E-05,0.049233874,-0.000450009,3.53E-06,3.14E-05,271.1926171,3813984.969,-0.0005243,0.000247191
5/3/2013,07SB013,5/3/2013,123,2,0.344,8.5,-3,2.8,15.2,0,0,0,0,0,,,270.4456998,-1.36E-08,-3.13E-06,0.824104354,0.00021913,5.90E-07,0.000419809,271.3767286,1.76E-05,99210.00241,0.000201622,-1.14E-07,1.66E-06,0.320951605,277.6199859,-6.11E-06,0.000979867,0.043223957,-4.59E-05,1.86E-09,0.001931767,271.3918152,4086626.491,-4.95E-05,1.58E-06
5/4/2013,07SB013,5/4/2013,124,2,0.345,14,1,7.5,10.5,0,0.4,0,0.4,0.4,,,274.6206675,-4.08E-08,-4.57E-05,0.826691347,0.000354364,-0.000181363,0.001003352,271.5703525,1.76E-05,98676.5454,0.000336856,-0.000227125,0,0.330570565,279.0113323,-4.78E-05,0.001486318,0.032388538,-0.000214776,1.86E-09,0.004561528,271.5617998,5105460.569,-0.000262948,0
5/5/2013,07SB013,5/5/2013,125,2,0.353,11,1.5,6.3,11.7,0,0,0,0,0,,,274.0991114,-1.90E-07,3.31E-07,0.829284378,6.10E-05,-1.11E-05,0.001568149,272.1456768,1.76E-05,97606.51024,4.32E-05,-4.73E-05,8.85E-05,0.340182565,278.4843806,-4.21E-06,0.000513715,0.020920871,-6.24E-05,1.86E-09,0.004739492,272.4062178,5224329.7,-0.000181137,8.90E-05
5/6/2013,07SB013,5/6/2013,126,2,0.35,2,-2.5,-0.3,18.3,0,0,0,0,0,,,271.2916976,-5.02E-06,-8.55E-05,0.831804926,0.0002632,-9.06E-05,0.001397222,272.4260873,1.76E-05,98835.80855,0.000245748,-0.000223372,3.11E-06,0.3413535,272.1045314,-0.000230871,0.000288126,0.013501933,-0.000277364,4.39E-05,0.001467404,272.401262,3366632.417,-0.00060769,4.77E-05
5/7/2013,07SB013,5/7/2013,127,2,0.333,2,-8,-3,21,0,0,0,0,0,,,266.3520585,-2.60E-06,-0.000479422,0.834337561,1.75E-05,-0.000260933,0,271.990578,1.76E-05,99521.03591,1.86E-09,-0.000807395,2.07E-07,0.330650116,270.0173997,-0.000573002,2.79E-05,0.013029996,-0.000469088,1.86E-09,-1.86E-09,272.0844636,5586006.629,-0.001142199,3.76E-07
5/8/2013,07SB013,5/8/2013,128,2,0.321,6.5,-6.5,0,18,0,0,0,0,0,,,268.5985628,-1.53E-06,-8.24E-05,0.836954767,1.75E-05,-7.32E-05,0,272.0511744,1.76E-05,99885.2321,1.86E-09,-0.00019453,8.94E-05,0.325478393,274.8264054,-9.66E-05,3.64E-05,0.011993485,-0.000199109,8.86E-05,0.00038054,272.6530527,6328487.132,-0.000401593,8.88E-05
5/9/2013,07SB013,5/9/2013,129,2,0.316,10.5,-5,2.8,15.2,0,0,0,0,0,,,271.5939513,-1.64E-05,-0.000139242,0.839475317,2.55E-05,-0.000101649,0.000107701,272.7811816,1.76E-05,99552.30867,8.05E-06,-0.000336698,0.001386193,0.330628192,277.633066,-0.000141416,6.54E-05,0.009327566,-0.000132673,0.000685454,0.001336915,273.6135914,6675412.163,-0.000550035,0.001417144
5/10/2013,07SB013,5/10/2013,130,2,0.312,5.5,-1,2.3,15.7,0,0,0,0,0,,,270.5747312,-2.25E-05,-0.000232134,0.842044213,1.84E-05,-0.000105983,2.45E-05,272.5622073,1.76E-05,100451.5641,6.72E-07,-0.000457864,3.11E-06,0.330226719,275.4222391,-0.000235685,3.95E-05,0.006950655,-0.000167197,2.46E-06,0.000495252,273.4477122,7485805.791,-0.000643518,2.81E-06
5/11/2013,07SB013,5/11/2013,131,2,0.31,15.5,-1,7.3,10.7,0,0,0,0,0,,,272.9763588,-2.69E-05,-0.000102535,0.844564718,2.07E-05,-5.79E-05,0.000124718,273.112772,1.76E-05,99012.15555,2.97E-06,-0.000283816,1.04E-06,0.326352835,280.9177166,-0.000104689,5.31E-05,0.004491436,-6.97E-05,1.86E-09,0.001065941,277.1993169,8095816.113,-0.000515057,9.39E-07
5/12/2013,07SB013,5/12/2013,132,2,0.312,8.5,1.5,5,13,0,6.4,0,6.4,6.4,,,274.666658,-6.32E-05,-6.89E-05,0.847188013,2.19E-05,-2.17E-05,0.000176806,273.5976267,1.76E-05,98052.83133,4.20E-06,-0.000299879,2.07E-06,0.323091526,277.0537138,-0.00017784,4.03E-05,0.002612974,-6.86E-05,1.86E-09,0.000321974,274.7028447,3839370.866,-0.000622102,0.000393188
